case_type,case_id,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,param_a0,param_a1,param_P,param_phi,model,W,MSE,MAE,coef_mean,coef_std,coef_corr_true_a,coef_rmse_true_a,true_a_mean,param_a_min,param_a_max,param_t0_frac,param_s_frac
monotonic_drift,default_amin_0p10_amax_0p90,high_snr,1.0,0.05,0.05,0.1,mse,,,,,sliding_var,20.0,1.751600224771336,0.5949923370157477,0.8150893867641769,0.05831968203036333,0.7967744873625798,0.03559506492867479,0.82011600580029,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,high_snr,1.0,0.05,0.05,0.1,mse,,,,,sliding_var,100.0,0.33052392176486506,0.2728491689535447,0.8189511840063071,0.047661102877576564,0.9893884100985763,0.00709458673538397,0.82011600580029,0.1,0.9,,
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,global_var,,0.01884752616044015,0.10030570441431508,0.5767215684607889,0.0,,0.0883245926895456,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,20.0,0.10385021998312347,0.22572358350727828,0.23633613278848284,0.5072866247535295,0.06498778837398805,0.6002349439938726,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,100.0,0.024079837998903942,0.11329086611545286,0.590703949967584,0.2736823229433805,0.15513555787502342,0.27610761075719814,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,global_var,,0.2585896046032791,0.25118626404275884,0.6045042181203333,0.0,,0.09898954095793519,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,20.0,1.693301522187174,0.5868398061627751,0.5514871225282535,0.09163716715242684,0.9265565005292976,0.03461703265411977,0.5546606790530988,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,100.0,0.33033871112187807,0.2727452534785873,0.5589226688245125,0.08478045013537983,0.9966585788941303,0.008196666372961734,0.5546606790530988,,,0.6,0.3
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,global_var,,0.018909443730959007,0.10050029467760785,0.4095610836947474,0.0,,0.2795139235989753,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,20.0,0.10237716787995413,0.2225896449171007,0.07946054709044147,0.4915793601958695,0.04674528257317228,0.4937399991755699,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,100.0,0.02411825585366399,0.11348226671769986,0.1649507979729879,0.27304435367339214,0.02117001867955653,0.2758551741778151,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,global_var,,0.2804045175682731,0.2926906256857035,0.43650471904098626,0.0,,0.30633885025330765,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,20.0,1.5114570823552873,0.5576517338589884,0.13103043377731807,0.04308605732338388,0.6548483865977809,0.032569907491452506,0.1313970941192648,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,100.0,0.32842463657482945,0.2720032442508733,0.13336663584551223,0.02866391354619945,0.9703076118709846,0.007216128094563621,0.1313970941192648,,,0.5,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,global_var,,0.019013473674248778,0.10097109829199605,0.24408264537021263,0.0,,0.45408831034938896,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,20.0,0.10492425598296015,0.2271140124525023,0.27872129765819526,0.5151155325746517,0.08865383110551735,0.6557433320977303,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,sliding_var,100.0,0.024076693150809403,0.1132518891480439,0.7141402029200322,0.2823273991204831,0.30758009963631683,0.27633144025371936,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,global_var,,0.30134318144446476,0.31189022130182403,0.27327529300281567,0.0,,0.4264010545363683,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,20.0,1.7114399751361844,0.5900652412246888,0.6728130944042863,0.14206850104191118,0.9695046568659538,0.035023109313132024,0.6762213345286999,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,sliding_var,100.0,0.3306305761845647,0.2728518148026455,0.6822327327948536,0.13659371793111838,0.9987459380302821,0.009606997115782676,0.6762213345286999,,,0.8,0.15
zero_crossing_sine,default_a1_0p60_P_500,low_snr,0.05,0.1,0.15,0.2,mse,,0.6,500.0,,global_var,,0.019017044535972482,0.10101455180276886,-0.031995115612884484,0.0,,0.42573152926508534,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,low_snr,0.05,0.1,0.15,0.2,mse,,0.6,500.0,,sliding_var,20.0,0.10375596400842574,0.22397668052674286,0.040671241382251574,0.5286453620164515,0.3430434806765839,0.5543649708578632,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,low_snr,0.05,0.1,0.15,0.2,mse,,0.6,500.0,,sliding_var,100.0,0.02418109109202221,0.11362591512393871,0.035774467135045396,0.5052180071984935,0.6702112671517537,0.3863029146934917,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,high_snr,1.0,0.05,0.05,0.1,mse,,0.6,500.0,,global_var,,0.30160724734079414,0.3080714777437545,-0.0006912256766194794,0.0,,0.4245295121368398,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,high_snr,1.0,0.05,0.05,0.1,mse,,0.6,500.0,,sliding_var,20.0,1.7202381365503931,0.5932253148543128,-0.0014721546493094667,0.4250261970814537,0.9905327007292662,0.058466773622109385,-1.886818065222354e-05,,,,
zero_crossing_sine,default_a1_0p60_P_500,high_snr,1.0,0.05,0.05,0.1,mse,,0.6,500.0,,sliding_var,100.0,0.37255596102588473,0.3210560988609647,0.0033049284943670577,0.4018393215099718,0.8223237300430312,0.24726710549437364,-1.886818065222354e-05,,,,
