case_type,case_id,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,param_a0,param_a1,param_P,param_phi,case,mean_MSE,std_MSE,mean_RMSE,std_RMSE,mean_MAE,std_MAE,alpha_correlation_global_mean,main_link_tracking_corr,main_link_RMSE,main_link_calibrated_RMSE,lag_accuracy,sign_accuracy,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength,mean_M_FP_t,max_M_FP_t,mean_alpha_std_all,mean_alpha_std_true_links,max_alpha_std_true_links,mean_main_link_std_t,max_main_link_std_t,global_VAR_MSE,global_VAR_MAE,global_VAR_coef,sliding_VAR_W_20_MSE,sliding_VAR_W_20_MAE,sliding_VAR_W_20_coef_corr,sliding_VAR_W_20_coef_rmse,sliding_VAR_W_100_MSE,sliding_VAR_W_100_MAE,sliding_VAR_W_100_coef_corr,sliding_VAR_W_100_coef_rmse,param_a_min,param_a_max,param_t0_frac,param_s_frac
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,1.5707963267948966,phase_pi_over_2_a1_0p25_P_500_phi_1p57,0.01888195748397794,1.1410932225761084e-05,0.13741162953971112,4.1515982671646906e-05,0.10044019657675554,3.269640791272301e-05,0.9971405487337693,-0.017859857543690728,0.1773890130464564,0.17663779158217557,1.0,1.0,6,0,0,0.0,0.0,0.3755723834037781,0.4474163055419922,0.004145171958953142,0.016072576865553856,0.027501236647367477,0.02824169211089611,0.0379866287112236,0.018869888631748755,0.10042093575011894,0.4694732202708583,0.10455580659532371,0.22557709740737,0.13822446878044511,0.5889864874294578,0.024087662442755793,0.1133620486263563,0.33474287559190985,0.30121028583212045,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,1.5707963267948966,phase_pi_over_2_a1_0p25_P_500_phi_1p57,0.2577902854264752,0.00032786960077151717,0.5077304319475443,0.00032300814466385805,0.2478408208552827,0.0006531035054846524,0.9417914490978617,0.9303302955361962,0.06497875413287003,0.06478742125522448,1.0,1.0,6,6,0,0.24047312140464783,0.10048073530197144,1.0420701503753662,1.3706576824188232,0.010026991367340088,0.022598760202527046,0.048774395138025284,0.025117937475442886,0.09295561909675598,0.2639462093645658,0.26463661574107716,0.49838260108317356,1.699101256524458,0.5868389863211557,0.9745751332237941,0.04029740145223515,0.35000269918238663,0.29182470797713894,0.8169765639913065,0.10421137146544249,,,,
monotonic_drift,default_amin_0p10_amax_0p90,low_snr,0.05,0.1,0.15,0.2,mse,,,,,default_amin_0p10_amax_0p90,0.019051861179076385,3.0299597605894934e-05,0.13802844030943245,0.00010977159031034679,0.10111595635140344,7.769843571942015e-05,0.9876217042215726,0.02170918358551618,0.48216395239451093,0.04612171934450202,1.0,1.0,6,0,0,0.0,0.0,0.4078828990459442,0.44040626287460327,0.004470971412956715,0.02221464179456234,0.029779493808746338,0.030164364725351334,0.04222944378852844,0.01899642015678621,0.10092398671284304,0.38669443935968806,0.10685655262543678,0.22945329006896037,0.03738600756396841,0.7145529770770706,0.024065949356175315,0.11321548643296371,0.3091495304091338,0.2757098516774981,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,high_snr,1.0,0.05,0.05,0.1,mse,,,,,default_amin_0p10_amax_0p90,0.2890276110649705,0.002525624765503869,0.537608263288298,0.0023490681629377576,0.30180419289722604,0.003176996043442998,0.947235928226583,-0.012805141325242908,0.3187076711960751,0.04612880960257166,1.0,1.0,6,3,0,0.2631084620952606,0.13753780722618103,1.0845578908920288,1.7052876949310303,0.011967221274971962,0.025793762877583504,0.04010869190096855,0.0344768650829792,0.09424865245819092,0.2976750650723482,0.3121867337997607,0.4151824209930107,1.751600224771336,0.5949923370157477,0.7967744873625798,0.03559506492867479,0.33052392176486506,0.2728491689535447,0.9893884100985763,0.00709458673538397,0.1,0.9,,
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,0.018872828501485316,1.9626267540727594e-05,0.1373783968090952,7.142710420101412e-05,0.1003692717070648,4.3544053236290656e-05,0.9953780870036939,-0.033505842525819486,0.08871056467679608,0.08547712696140405,1.0,1.0,6,0,0,0.0,0.0,0.39662817120552063,0.429239958524704,0.003838305128738284,0.017357146367430687,0.02492714300751686,0.017659226432442665,0.025900274515151978,0.01884752616044015,0.10030570441431508,0.5767215684607889,0.10385021998312347,0.22572358350727828,0.06498778837398805,0.6002349439938726,0.024079837998903942,0.11329086611545286,0.15513555787502342,0.27610761075719814,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,0.259331868069342,0.0007785176444139243,0.5092458559936709,0.0007646514204962299,0.2496037537210128,0.0007631377382543986,0.9498161108543742,0.8023256426310846,0.06582388486344216,0.051048810854982016,1.0,1.0,6,7,0,0.1787823885679245,0.10531215369701385,1.1287846565246582,1.6751596927642822,0.010230092331767082,0.018551645800471306,0.027597472071647644,0.04392355680465698,0.10550403594970703,0.2585896046032791,0.25118626404275884,0.6045042181203333,1.693301522187174,0.5868398061627751,0.9265565005292976,0.03461703265411977,0.33033871112187807,0.2727452534785873,0.9966585788941303,0.008196666372961734,,,0.6,0.3
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,0.018926263969107175,8.708936708037083e-06,0.13757275554203044,3.1652275912769995e-05,0.10054199472591933,3.633658243734632e-05,0.9960993619203025,-0.01964046138075697,0.2764373973056219,0.027432425818336013,1.0,1.0,6,0,0,0.0,0.0,0.3808315098285675,0.41654545068740845,0.004073335323482752,0.01875622756779194,0.03277451917529106,0.03333164379000664,0.04487276077270508,0.018909443730959007,0.10050029467760785,0.4095610836947474,0.10237716787995413,0.2225896449171007,0.04674528257317228,0.4937399991755699,0.02411825585366399,0.11348226671769986,0.02117001867955653,0.2758551741778151,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,0.257747623893585,0.0008824261012598716,0.5076878408243377,0.0008693373638393903,0.24455028149452024,0.000886074932423771,0.9183027532604514,0.32819393050382845,0.04683529578507679,0.025917953249025707,1.0,1.0,6,5,0,0.11227128654718399,0.08797191083431244,0.9854739904403687,1.1662594079971313,0.013056909665465355,0.030537284910678864,0.06383254379034042,0.017459919676184654,0.11216873675584793,0.2804045175682731,0.2926906256857035,0.43650471904098626,1.5114570823552873,0.5576517338589884,0.6548483865977809,0.032569907491452506,0.32842463657482945,0.2720032442508733,0.9703076118709846,0.007216128094563621,,,0.5,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,0.019128118739026284,2.631100473762806e-05,0.13830441278281708,9.512463417866574e-05,0.10139928163086369,7.610671337401911e-05,0.9740833477702888,-0.01820698293601683,0.5659258581648725,0.1394485516665456,1.0,1.0,6,0,0,0.0,0.0,0.41253232955932617,0.43757206201553345,0.003898927476257086,0.016909603029489517,0.022387975826859474,0.022595329210162163,0.035970788449048996,0.019013473674248778,0.10097109829199605,0.24408264537021263,0.10492425598296015,0.2271140124525023,0.08865383110551735,0.6557433320977303,0.024076693150809403,0.1132518891480439,0.30758009963631683,0.27633144025371936,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,0.32367382754820007,0.00659347315412565,0.56889681118966,0.005797103341477018,0.3297199277175085,0.006351540266407051,0.9485789038225418,0.1380763728227584,0.45960891063190223,0.13813575376252787,1.0,1.0,6,3,0,0.206465482711792,0.1011362373828888,1.0512293577194214,1.920077919960022,0.010102251544594765,0.021981971338391304,0.036257289350032806,0.0404323972761631,0.08194535970687866,0.30134318144446476,0.31189022130182403,0.27327529300281567,1.7114399751361844,0.5900652412246888,0.9695046568659538,0.035023109313132024,0.3306305761845647,0.2728518148026455,0.9987459380302821,0.009606997115782676,,,0.8,0.15
