case_type,case_id,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,param_a0,param_a1,param_P,param_phi,case,alpha_correlation_global_mean,main_link_tracking_corr,main_link_RMSE,main_link_calibrated_RMSE,lag_accuracy,sign_accuracy,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength,mean_M_FP_t,max_M_FP_t,mean_alpha_std_all,mean_alpha_std_true_links,max_alpha_std_true_links,mean_main_link_std_t,max_main_link_std_t,param_a_min,param_a_max,param_t0_frac,param_s_frac
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,1.5707963267948966,phase_pi_over_2_a1_0p25_P_500_phi_1p57,0.9971405487337693,-0.017859857543690728,0.1773890130464564,0.17663779158217557,1.0,1.0,6,0,0,0.0,0.0,0.3755723834037781,0.4474163055419922,0.004145171958953142,0.016072576865553856,0.027501236647367477,0.02824169211089611,0.0379866287112236,,,,
sinusoidal,phase_pi_over_2_a1_0p25_P_500_phi_1p57,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,1.5707963267948966,phase_pi_over_2_a1_0p25_P_500_phi_1p57,0.9417914490978617,0.9303302955361962,0.06497875413287003,0.06478742125522448,1.0,1.0,6,6,0,0.24047312140464783,0.10048073530197144,1.0420701503753662,1.3706576824188232,0.010026991367340088,0.022598760202527046,0.048774395138025284,0.025117937475442886,0.09295561909675598,,,,
monotonic_drift,default_amin_0p10_amax_0p90,low_snr,0.05,0.1,0.15,0.2,mse,,,,,default_amin_0p10_amax_0p90,0.9876217042215726,0.02170918358551618,0.48216395239451093,0.04612171934450202,1.0,1.0,6,0,0,0.0,0.0,0.4078828990459442,0.44040626287460327,0.004470971412956715,0.02221464179456234,0.029779493808746338,0.030164364725351334,0.04222944378852844,0.1,0.9,,
monotonic_drift,default_amin_0p10_amax_0p90,high_snr,1.0,0.05,0.05,0.1,mse,,,,,default_amin_0p10_amax_0p90,0.947235928226583,-0.012805141325242908,0.3187076711960751,0.04612880960257166,1.0,1.0,6,3,0,0.2631084620952606,0.13753780722618103,1.0845578908920288,1.7052876949310303,0.011967221274971962,0.025793762877583504,0.04010869190096855,0.0344768650829792,0.09424865245819092,0.1,0.9,,
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,0.9953780870036939,-0.033505842525819486,0.08871056467679608,0.08547712696140405,1.0,1.0,6,0,0,0.0,0.0,0.39662817120552063,0.429239958524704,0.003838305128738284,0.017357146367430687,0.02492714300751686,0.017659226432442665,0.025900274515151978,,,0.6,0.3
gaussian_pulse,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,wide_mid_a0_0p10_a1_0p75_t0_0p60_s_0p30,0.9498161108543742,0.8023256426310846,0.06582388486344216,0.051048810854982016,1.0,1.0,6,7,0,0.1787823885679245,0.10531215369701385,1.1287846565246582,1.6751596927642822,0.010230092331767082,0.018551645800471306,0.027597472071647644,0.04392355680465698,0.10550403594970703,,,0.6,0.3
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,0.9960993619203025,-0.01964046138075697,0.2764373973056219,0.027432425818336013,1.0,1.0,6,0,0,0.0,0.0,0.3808315098285675,0.41654545068740845,0.004073335323482752,0.01875622756779194,0.03277451917529106,0.03333164379000664,0.04487276077270508,,,0.5,0.15
gaussian_pulse,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,train_peak_a0_0p10_a1_0p75_t0_0p50_s_0p15,0.9183027532604514,0.32819393050382845,0.04683529578507679,0.025917953249025707,1.0,1.0,6,5,0,0.11227128654718399,0.08797191083431244,0.9854739904403687,1.1662594079971313,0.013056909665465355,0.030537284910678864,0.06383254379034042,0.017459919676184654,0.11216873675584793,,,0.5,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,low_snr,0.05,0.1,0.15,0.2,mse,0.1,0.75,,,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,0.9740833477702888,-0.01820698293601683,0.5659258581648725,0.1394485516665456,1.0,1.0,6,0,0,0.0,0.0,0.41253232955932617,0.43757206201553345,0.003898927476257086,0.016909603029489517,0.022387975826859474,0.022595329210162163,0.035970788449048996,,,0.8,0.15
gaussian_pulse,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,high_snr,1.0,0.05,0.05,0.1,mse,0.1,0.75,,,test_border_peak_a0_0p10_a1_0p75_t0_0p80_s_0p15,0.9485789038225418,0.1380763728227584,0.45960891063190223,0.13813575376252787,1.0,1.0,6,3,0,0.206465482711792,0.1011362373828888,1.0512293577194214,1.920077919960022,0.010102251544594765,0.021981971338391304,0.036257289350032806,0.0404323972761631,0.08194535970687866,,,0.8,0.15
zero_crossing_sine,default_a1_0p60_P_500,low_snr,0.05,0.1,0.15,0.2,mse,,0.6,500.0,,default_a1_0p60_P_500,0.9956185655311893,-0.01958989181816625,0.42570620835366446,0.4244475123625854,1.0,0.2,5,0,1,0.0,0.0,0.343953937292099,0.3546082377433777,0.003453679382801056,0.01667398400604725,0.032801900058984756,0.017467956990003586,0.01918577216565609,,,,
zero_crossing_sine,default_a1_0p60_P_500,high_snr,1.0,0.05,0.05,0.1,mse,,0.6,500.0,,default_a1_0p60_P_500,0.9049291367296685,0.6177049710432028,0.40699956309855306,0.33385380262763936,0.8333333333333334,0.2,5,5,1,0.18779441714286804,0.11303923279047012,1.3959376811981201,6.242522716522217,0.016343986615538597,0.02495056577026844,0.06801241636276245,0.035129643976688385,0.19776621460914612,,,,
