B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,model,accuracy,macro_f1,weighted_f1,train_windows,test_windows,train_R0,train_R1,test_R0,test_R1,gap_windows,tn,fp,fn,tp
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,majority_baseline,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,logistic,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,tree,0.4849246231155779,0.44260453394767707,0.4328284647174021,2791,1194,1345,1446,635,559,10,125,510,105,454
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,majority_baseline,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,logistic,0.9916247906197655,0.9915888956515858,0.9916238702359659,2791,1194,1345,1446,635,559,10,631,4,6,553
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,tree,0.9899497487437185,0.9899088642542222,0.9899497487437185,2791,1194,1345,1446,635,559,10,629,6,6,553
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,majority_baseline,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,logistic,0.9807370184254607,0.9806607131916584,0.9807380358285781,2791,1194,1345,1446,635,559,10,623,12,11,548
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,tree,0.974036850921273,0.9739643671830323,0.9740518078831322,2791,1194,1345,1446,635,559,10,613,22,9,550
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,majority_baseline,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,logistic,0.6373534338358459,0.6179623505939296,0.6124838289345034,2791,1194,1345,1446,635,559,10,246,389,44,515
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,tree,0.7085427135678392,0.7012939958592133,0.6983321542148284,2791,1194,1345,1446,635,559,10,330,305,43,516
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,majority_baseline,1.0,1.0,1.0,2791,1194,1585,1206,1194,0,10,1194,0,0,0
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,logistic,0.8835845896147404,0.4690973766118275,0.9381947532236551,2791,1194,1585,1206,1194,0,10,1055,139,0,0
